streetname,gender
"Rue Alderson Jeuniau - Alderson Jeuniaustraat",M
"Avenue Léon Houyoux - Léon Houyouxlaan",M
"Avenue Joseph Jean Gossiaux - Joseph Jean Gossiauxlaan",M
"Avenue André Drouart - André Drouartlaan",M
"Avenue Jules Vandeleene - Jules Vandeleenelaan",M
"Rue Wayez - Wayezstraat",M
"Avenue Vandromme - Vandrommelaan",M
"Rue François Debelder - François Debelderstraat",M
"Avenue Henri Strauven - Henri Strauvenlaan",M
"Rue Armand Swevers - Armand Sweversstraat",M
"Rue Henri Vandersaenen - Henri Vandersaenenstraat",M
"Clos Paul Delforge - Paul Delforgegaarde",M
"Rue Robert Willame - Robert Willamestraat",M
"Rue Joseph Delhaye - Joseph Delhayestraat",M
"Square Georges Marlow - Georges Marlowsquare",M
"Parvis Saint-Pierre - Sint-Pietersvoorplein",M
"Place Homère Goossens - Homère Goossensplein",M
"Rue Verhulst - Verhulststraat",M
"Rue Xavier De Bue - Xavier De Buestraat",M
"Avenue Eudore Pirmez - Eudore Pirmezlaan",M
"Boulevard Général Jacques - Generaal Jacqueslaan",M
"Rue Docteur Dryepondt - Dokter Dryepondtstraat",M
"Rue Joseph Buedts - Joseph Buedtsstraat",M
"Rue Général Fivé - Generaal Fivéstraat",M
"Rue Crocq - Crocqstraat",M
"Rue Jacques Hoton - Jacques Hotonstraat",M
"Place Verheyleweghen - Verheyleweghenplein",M
"Rue Philippe Baucq - Philippe Baucqstraat",M
"Avenue Paul Hymans - Paul Hymanslaan",M
"Avenue Jules Malou - Jules Maloulaan",M
"Avenue Michel de Ghelderode - Michel de Ghelderodelaan",M
"Rue Général Wangermée - Generaal Wangerméestraat",M
"Rue Vervloesem - Vervloesemstraat",M
"Rue Verheyleweghen - Verheyleweghenstraat",M
"Avenue Baden-Powell - Baden-Powelllaan",M
"Rue Gustave-Jean Leclercq - Gustave-Jean Leclercqstraat",M
"Rue Louis Marcx - Louis Marcxstraat",M
"Avenue Thomas Frissen - Thomas Frissenlaan",M
"Avenue Alphonse Valkeners - Alphonse Valkenerslaan",M
"Avenue Docteur Edmond Cordier - Dokter Edmond Cordierlaan",M
"Rue Mathieu Buntincx - Mathieu Buntincxstraat",M
"Avenue Isidore Geyskens - Isidore Geyskenslaan",M
"Avenue Louis Berlaimont - Louis Berlaimontlaan",M
"Avenue Benjamin Jansen - Benjamin Jansenlaan",M
"Avenue Henri de Brouckère - Henri de Brouckèrelaan",M
"Rue Antoine Vandergoten - Antoine Vandergotenstraat",M
"Avenue Gabriel Emile Lebon - Gabriel Emile Lebonlaan",M
"Rue Jules Emile Raymond - Jules Emile Raymondstraat",M
"Rue Edouard Henrard - Edouard Henrardstraat",M
"Avenue Jan Stobbaerts - Jan Stobbaertslaan",M
"Rue Vandenbussche - Vandenbusschestraat",M
"Rue Frans Binjé - Frans Binjéstraat",M
"Rue Godefroid Devreese - Godefroid Devreesestraat",M
"Rue Josse Impens - Josse Impensstraat",M
"Avenue Général Eisenhower - Generaal Eisenhowerlaan",M
"Rue de Theux - de Theuxstraat",M
"Rue Général Capiaumont - Generaal Capiaumontstraat",M
"Rue Ernest Havaux - Ernest Havauxstraat",M
"Rue Peter Benoit - Peter Benoitstraat",M
"Avenue Charles de Thiennes - Charles de Thienneslaan",M
"Rue Saint-Lambert - Sint-Lambrechtsstraat",M
"Rue Vandenhoven - Vandenhovenstraat",M
"Place Saint-Lambert - Sint-Lambertusplein",M
"Rue François Bossaerts - Francois Bossaertsstraat",M
"Rue Madyol - Madyolstraat",M
"Rue Artan - Artanstraat",M
"Rue Auguste Lambiotte - Auguste Lambiottestraat",M
"Rue Joseph Coosemans - Joseph Coosemansstraat",M
"Rue Léon Mignon - Léon Mignonstraat",M
"Avenue Clays - Clayslaan",M
"Rue Alexandre Markelbach - Alexandre Markelbachstraat",M
"Rue André Van Hasselt - André Van Hasseltstraat",M
"Rue Thomas Vinçotte - Thomas Vinçottestraat",M
"Rue Verbist - Verbiststraat",M
"Rue Gustave Fuss - Gustave Fussstraat",M
"Rue Albert de Latour - Albert de Latourstraat",M
"Rue Emile Wittmann - Emile Wittmannstraat",M
"Rue Eugène Smits - Eugène Smitsstraat",M
"Rue Jacques Jansen - Jacques Jansenstraat",M
"Rue Gray - Graystraat",M
"Rue William Degouve de Nuncques - William Degouve de Nuncquesstraat",M
"Rue Aimé Smekens - Aimé Smekensstraat",M
"Rue Knapen - Knapenstraat",M
"Avenue Léon Mahillon - Léon Mahillonlaan",M
"Rue Louis Scutenaire - Louis Scutenairestraat",M
"Rue Marcel Mariën - Marcel Mariënstraat",M
"Place Colignon - Colignonplein",M
"Rue Emmanuel Hiel - Emmanuel Hielstraat",M
"Rue Abbé Jean Heymans - Priester Jean Heymansstraat",M
"Boulevard Henri Simonet - Henri Simonetlaan",M
"Rue Pierre Van Reymenant - Pierre Van Reymenantstraat",M
"Place Jourdan - Jourdanplein",M
"Avenue Gilbert Mullie - Gilbert Mullielaan",M
"Clos Albert Marinus - Albert Marinusgaarde",M
"Rue Théodore De Cuyper - Théodore De Cuyperstraat",M
"Avenue Jacques Brel - Jacques Brellaan",M
"Rue Sneessens - Sneessensstraat",M
"Rue Fétis - Fétisstraat",M
"Rue Vogler - Voglerstraat",M
"Rue Teniers - Teniersstraat",M
"Rue Ernest Discailles - Ernest Discaillesstraat",M
"Rue Joseph Brand - Joseph Brandstraat",M
"Rue Henri Bergé - Henri Bergéstraat",M
"Rue Jenatzy - Jenatzystraat",M
"Boulevard Josse Leemans - Josse Leemanslaan",M
"Rue Edouard Fiers - Edouard Fiersstraat",M
"Rue Henry Villard - Henry Villardstraat",M
"Rue Kessels - Kesselsstraat",M
"Rue Van Hoorde - Van Hoordestraat",M
"Rue Roelandts - Roelandtsstraat",M
"Rue Van Hove - Van Hovestraat",M
"Avenue Paul Deschanel - Paul Deschanellaan",M
"Square Emile Duployé - Emile Duployésquare",M
"Rue Vonck - Vonckstraat",M
"Rue Verboeckhaven - Verboeckhavenstraat",M
"Rue Thiéfry - Thiéfrystraat",M
"Rue Massaux - Massauxstraat",M
"Rue Seutin - Seutinstraat",M
"Rue Frédéric Pelletier - Frédéric Pelletierstraat",M
"Rue Louis Hap - Louis Hapstraat",M
"Rue Léon Frédéric - Léon Frédéricstraat",M
"Avenue Adolphe Lacomblé - Adolphe Lacomblélaan",M
"Avenue Eugène Plasky - Eugène Plaskylaan",M
"Rue Victor Hugo - Victor Hugostraat",M
"Rue Victor Oudart - Victor Oudartstraat",M
"Avenue Émile Gryson - Emile Grysonlaan",M
"Avenue Milcamps - Milcampslaan",M
"Rue Général Gratry - Generaal Gratrystraat",M
"Rue Théodore Roosevelt - Théodore Rooseveltstraat",M
"Rue Victor Lefèvre - Victor Lefèvrestraat",M
"Rue de Robiano - de Robianostraat",M
"Rue Vifquin - Vifquinstraat",M
"Rue Brichaut - Brichautstraat",M
"Rue Richard Kips - Richard Kips straat",M
"Rue Lefrancq - Lefrancqstraat",M
"Rue Vandeweyer - Vandeweyerstraat",M
"Rue de Locht - de Lochtstraat",M
"Rue Renkin - Renkinstraat",M
"Rue Vondel - Vondelstraat",M
"Avenue Marc Henri Van Laer - Marc Henri Van Laerlaan",M
"Rue Raymond Ebrant - Raymond Ebrantstraat",M
"Rue de Beughem - Beughemstraat",M
"Rue L'Olivier - L'Olivierstraat",M
"Rue Linné - Linnéstraat",M
"Rue Dupont - Dupontstraat",M
"Rue Allard - Allardstraat",M
"Rue d'Hoogvorst - d'Hoogvorststraat",M
"Rue de Potter - de Potterstraat",M
"Rue Rogier - Rogierstraat",M
"Rue Général Leman - Generaal Lemanstraat",M
"Rue Doyen Boone - Deken Boonestraat",M
"Rue Félix Hap - Félix Hapstraat",M
"Rue Gallait - Gallaitstraat",M
"Rue Rubens - Rubensstraat",M
"Rue Joseph Jacquet - Joseph Jacquetstraat",M
"Rue James Watt - James Wattstraat",M
"Place Stephenson - Stephensonplein",M
"Rue Vanderlinden - Vanderlindenstraat",M
"Rue Van Schoor - Van Schoorstraat",M
"Rue Fraikin - Fraikinstraat",M
"Rue Van Oost - Van Ooststraat",M
"Rue Floris - Florisstraat",M
"Rue Quinaux - Quinauxstraat",M
"Rue Vandermeersch - Vandermeerschstraat",M
"Rue Verhas - Verhasstraat",M
"Rue Camille Simoens - Camille Simoensstraat",M
"Avenue Maréchal Foch - Maarschalk Fochlaan",M
"Rue Bollinckx - Bollinckxstraat",M
"Rue Général Eenens - Generaal Eenensstraat",M
"Rue Metsys - Metsysstraat",M
"Avenue Voltaire - Voltairelaan",M
"Rue Léopold Courouble - Léopold Couroublestraat",M
"Rue Jacques Rayé - Jacques Rayéstraat",M
"Rue Capronnier - Capronnierstraat",M
"Rue d'Anethan - d'Anethanstraat",M
"Rue François-Joseph Navez - François-Joseph Navezstraat",M
"Rue Portaels - Portaelsstraat",M
"Rue Joseph Van Camp - Joseph Van Campstraat",M
"Rue Henri-Joseph Genesse - Henri-Joseph Genessestraat",M
"Rue Georges Garnir - Georges Garnirstraat",M
"Rue Maurice Des Ombiaux - Maurice Des Ombiauxstraat",M
"Avenue Jean Monnet - Jean Monnetlaan",M
"Avenue Oscar Jespers - Oscar Jesperslaan",M
"Avenue Henri Lafontaine - Henri Lafontainelaan",M
"Avenue H.V. Wolvens - H.V. Wolvenslaan",M
"Rue Gendebien - Gendebienstraat",M
"Place Solvay - Solvayplein",M
"Place Gaucheret - Gaucheretplein",M
"Avenue Philippe Thomas - Philippe Thomaslaan",M
"Rue Jolly - Jollystraat",M
"Rue Destouvelles - Destouvellesstraat",M
"Rue Gaucheret - Gaucheretstraat",M
