Avenue Edmond Van Nieuwenhuyse,Edmond Van Nieuwenhuyselaan,M
Avenue Édouard Bénès,Édouard Bénèslaan,M
Avenue Edouard de Thibault,Edouard de Thibaultlaan,M
Avenue Edouard Keilig,Edouard Keiliglaan,M
Avenue Edouard Kufferath,Edouard Kufferathlaan,M
Avenue Édouard Lacomblé,Édouard Lacomblélaan,M
Avenue Edouard Speeckaert,Edouard Speeckaertlaan,M
Avenue Émile Bossaert,Émile Bossaertlaan,M
Avenue Émile de Beco,Émile de Becolaan,M
Avenue Émile De Mot,Émile De Motlaan,M
Avenue Émile Duray,Émile Banningstraat,M
Avenue Émile Gryson,Emile Grysonlaan,M
Avenue Emile Laine,Emile Lainelaan,M
Avenue Emile Max,Emile Maxlaan,M
Avenue Émile van Becelaere,Émile Van Becelaerelaan,M
Avenue Emile Van Ermengem,Emile Van Ermengemlaan,M
Avenue Émile Vandervelde,Émile Vanderveldelaan,M
Avenue Emile Verhaeren,Emile Verhaerenlaan,M
Avenue Emile Zola,Emile Zolalaan,M
Avenue Emmanuel Mounier,Emmanuel Mounierlaan,M
Avenue Ernest Cambier,Ernest Cambierlaan,M
Avenue Ernest Claes,Ernest Claeslaan,M
Avenue Ernest Masoin,Ernest Masoinlaan,M
Avenue Ernest Renan,Ernest Renanlaan,M
Avenue Eudore Pirmez,Eudore Pirmezlaan,M
Avenue Eugène Baie,Eugène Baielaan,M
Avenue Eugène Demolder,Eugène Demolderlaan,M
Avenue Eugène Godaux,Eugène Godauxlaan,M
Avenue Eugène Plasky,Eugène Plaskylaan,M
Avenue Eugène Ysaye,Eugène Ysayelaan,M
Avenue Évariste De Meersman,Évariste De Meersmanlaan,M
Avenue Everard,Everardlaan,M
Avenue Félix Marchal,Félix Marchallaan,M
Avenue Ferdauci,Ferdaucilaan,M
Avenue Firmin Lecharlier,Firmin Lecharlierlaan,M
Avenue Fonsny,Fonsnylaan,M
Avenue Fortin,Fortinlaan,M
Avenue François Englert,François Englertlaan,M
Avenue François Folie,François Folielaan,M
Avenue François Malherbe,François Malherbelaan,M
Avenue François Peeters,François Peeterslaan,M
Avenue François Sebrechts,François Sebrechtslaan,M
Avenue François Villon,François Villonlaan,M
Avenue François-Bernard Verboven,François-Bernard Verbovenlaan,M
Avenue François-Élie Van Elderen,François-Élie Van Elderenlaan,M
Avenue Franklin Roosevelt,Franklin Rooseveltlaan,M
Avenue Frans Courtens,Frans Courtenslaan,M
Avenue Frans van Kalken,Frans van Kalkenlaan,M
Avenue Franz Guillaume,Franz Guillaumelaan,M
Avenue Gabriel Emile Lebon,Gabriel Emile Lebonlaan,M
Avenue Gabriel Fauré,Gabriel Faurélaan,M
Avenue Galilée,Galileelaan,M
Avenue Gaston De Gryse,Gaston De Gryselaan,M
Avenue Général Baron Empain,Generaal Baron Empainlaan,M
Avenue Général Bastin,Generaal Bastinlaan,M
Avenue Général Bernheim,Generaal Bernheimlaan,M
Avenue Général de Longueville,Generaal de Longuevillelaan,M
Avenue Général Dossin de Saint-Georges,Generaal Dossin de Saint-Georgeslaan,M
Avenue Général Dumonceau,Generaal Dumonceaulaan,M
