name_fr,name_nl,gender,wikidata,type
"Avenue Albert De Coster","Albert De Costerlaan",M,Q15869653,relation
"Avenue Albert Desenfans","Albert Desenfanslaan",M,Q2630662,way
"Avenue Albert Dumont","Albert Dumontlaan",M,Q2831134,relation
"Avenue Albert Giraud","Albert Giraudlaan",M,Q972661,relation
"Avenue Albert Jonnart","Albert Jonnartlaan",M,Q2831277,relation
"Avenue Albert Lancaster","Albert Lancasterlaan",M,Q5933304,way
"Avenue Albertyn",Albertynlaan,M,Q89586949,relation
"Avenue Alexandre Bertrand","Alexandre Bertrandlaan",M,Q2342814,way
"Avenue Alexandre Galopin","Alexandre Galopinlaan",M,Q1948980,relation
"Avenue Alfred Bastien","Alfred Bastienlaan",M,Q2834961,relation
"Avenue Alfred Madoux","Alfred Madouxlaan",M,Q22209331,relation
"Avenue Alfred Solvay","Alfred Solvaylaan",M,Q22955207,way
"Avenue Alphonse Valkeners","Alphonse Valkenerslaan",M,Q89587469,relation
"Avenue Alphonse XIII","Alphonse XIII laan",M,Q18363,relation
"Avenue Ambassadeur Van Vollenhoven","Ambassadeur Van Vollenhovenlaan",M,Q76286849,way
"Avenue André Drouart","André Drouartlaan",M,Q16802038,relation
"Avenue André Ryckmans","André Ryckmanslaan",M,Q17834839,relation
"Avenue Antoine Depage","Antoine Depagelaan",M,Q2245909,way
"Avenue Antoine de Saint-Exupéry","Antoine de Saint-Exupérylaan",M,Q2908,relation
"Avenue Antoine-Joseph Slegers","Antoine-Joseph Slegerslaan",M,Q89585848,relation
"Avenue Antoon van Oss","Antoon van Osslaan",M,Q89691723,relation
"Avenue Armand Huysmans","Armand Huysmanslaan",M,Q11313501,relation
"Avenue Armand Scheitler","Armand Scheitlerlaan",M,Q89692023,relation
"Avenue Arnaud Fraiteur","Arnaud Fraiteurlaan",M,Q2863114,relation
"Avenue Arnold Delvaux","Arnold Delvauxlaan",M,Q89692208,way
"Avenue Auber",Auberlaan,M,Q157672,relation
"Avenue Auguste Bourgeois","Auguste Bourgeoislaan",M,Q89692469,relation
"Avenue Auguste Oleffe","Auguste Oleffelaan",M,Q2341464,relation
"Avenue Auguste Rodin","Auguste Rodinlaan",M,Q30755,relation
"Avenue Baden-Powell",Baden-Powelllaan,M,Q12665,relation
"Avenue Baron Albert d'Huart","Baron Albert d'Huartlaan",M,Q2831651,relation
"Avenue Beethoven",Beethovenlaan,M,Q255,relation
"Avenue Benjamin Jansen","Benjamin Jansenlaan",M,Q89797231,relation
"Avenue Besme",Besmelaan,M,Q2083665,relation
"Avenue Blücher",Blücherlaan,M,Q153522,way
"Avenue Boileau",Boileaulaan,M,Q188857,relation
"Avenue Bonaparte",Bonapartelaan,M,Q517,way
"Avenue Bourgmestre Jean Herinckx","Burgemeester Jean Herinckxlaan",M,Q3172533,way
"Avenue Brillat-Savarin",Brillat-Savarinlaan,M,Q313027,relation
"Avenue Britsiers",Britsierslaan,M,Q89797920,relation
"Avenue Broustin",Broustinlaan,M,Q85470697,relation
"Avenue Brugmann",Brugmannlaan,M,Q3102386,way
"Avenue Brunard",Brunardlaan,M,Q3141947,way
"Avenue Camille Joset","Camille Josetlaan",M,Q2934966,relation
"Avenue Camille Vaneukem","Camille Vaneukemlaan",M,Q89798959,relation
"Avenue Capart",Capartlaan,M,Q2373298,relation
"Avenue Capitaine Fossoul","Kapitein Fossoullaan",M,Q89799318,relation
"Avenue Capitaine Piret","Kapitein Piretlaan",M,Q89807875,relation
"Avenue Cardinal Micara","Kardinaal Micaralaan",M,Q1100339,way
"Avenue Carl Requette","Carl Requettelaan",M,Q89808988,relation
"Avenue Carton de Wiart","Carton de Wiartlaan",M,Q14990,relation
"Avenue Casalta",Casaltalaan,M,Q15967644,relation
"Avenue Charbo",Charbolaan,M,Q89810259,way
"Avenue Charle-Albert",Charle-Albertlaan,M,Q2831032,way
"Avenue Charles Brassine","Charles Brassinelaan",M,Q89917504,relation
"Avenue Charles De Tollenaere","Charles De Tollenaerelaan",M,Q89917716,relation
"Avenue Charles Dierickx","Charles Dierickxlaan",M,Q89918184,way
"Avenue Charles Gilisquet","Charles Gilisquetlaan",M,Q89918321,relation
"Avenue Charles Madoux","Charles Madouxlaan",M,Q2398384,way
"Avenue Charles Michiels","Charles Michielslaan",M,Q90038974,way
"Avenue Charles Plisnier","Charles Plisnierlaan",M,Q1065801,relation
"Avenue Charles Schaller","Charles Schallerlaan",M,Q17039757,relation
"Avenue Charles Thielemans","Charles Thielemanslaan",M,Q89918395,relation
"Avenue Charles Woeste","Charles Woestelaan",M,Q950611,relation
"Avenue Charles d'Orjo de Marchovelette","Charles d'Orjo de Marchovelettelaan",M,Q90039051,way
"Avenue Charles de Thiennes","Charles de Thienneslaan",M,Q2001632,relation
"Avenue Charles-Quint","Keizer Karellaan",M,Q32500,relation
"Avenue Chazal",Chazallaan,M,Q321760,relation
"Avenue Cicéron",Cicerolaan,M,Q1541,relation
"Avenue Clays",Clayslaan,M,Q2959082,relation
"Avenue Clemenceau",Clemenceaulaan,M,Q171730,relation
"Avenue Coghen",Coghenlaan,M,Q2412466,way
"Avenue Colonel Daumerie","Kolonel Daumerielaan",M,Q56844459,relation
"Avenue Colonel Picquart","Kolonel Picquartlaan",M,Q717539,relation
"Avenue Commandant Lothaire","Kommandant Lothairelaan",M,Q29566788,relation
"Avenue Commandant Vander Meeren","Commandant Vander Meerenlaan",M,Q90039947,relation
"Avenue Constant Montald","Constant Montaldlaan",M,Q2994899,relation
"Avenue Constant Permeke","Constant Permekelaan",M,Q381911,relation
"Avenue Crokaert",Crokaertlaan,M,Q2239003,relation
